model,scope,risk_seed,source_groups,clips,metric,estimate,ci95_low,ci95_high,bootstrap_seed
masked_fusion,source_disjoint_test,123,15,190,error_reduction,0.07611413591449889,0.044825053597848594,0.10642217677993884,202759153
masked_fusion,source_disjoint_test,123,15,190,revision_path_reduction,0.11228070175438593,0.04999716553287981,0.16666666666666669,202759153
masked_fusion,source_disjoint_test,123,15,190,revision_opportunity_reduction,0.07823149828594475,0.044577862679012016,0.10958527209017903,202759153
masked_fusion,source_disjoint_test,123,15,190,coverage_gap,0.0368421052631579,0.00383032915360494,0.0688789979342522,202759153
masked_fusion,source_disjoint_test,1234,15,190,error_reduction,0.07767888341673423,0.045881725389771075,0.1118033924151309,202760264
masked_fusion,source_disjoint_test,1234,15,190,revision_path_reduction,0.10789473684210527,0.049196034136546184,0.16161804613297145,202760264
masked_fusion,source_disjoint_test,1234,15,190,revision_opportunity_reduction,0.0791029622157611,0.047422000689159756,0.1086651007459407,202760264
masked_fusion,source_disjoint_test,1234,15,190,coverage_gap,0.04561403508771922,0.007976327391221007,0.07796923120291477,202760264
masked_fusion,source_disjoint_test,12345,15,190,error_reduction,0.08470535312640576,0.050567245298898174,0.12247150396698603,202771375
masked_fusion,source_disjoint_test,12345,15,190,revision_path_reduction,0.11403508771929821,0.054851626693315565,0.1650332717628114,202771375
masked_fusion,source_disjoint_test,12345,15,190,revision_opportunity_reduction,0.08101664417453891,0.047796246128058294,0.1110414206718669,202771375
masked_fusion,source_disjoint_test,12345,15,190,coverage_gap,0.0412280701754385,0.008830022075055233,0.06841408338452853,202771375
