scope,condition,seed,threshold,margin,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,H0,1234,0.72,0.2,6204,3626,730,0.20132377275234417,0.2922308188265635,0.0548033526756931,3626,0.09376723662437948,0.014184397163120567,0.39361702127659576,2.415538362346873,1.0,1184,0.19084461637653127,234,0.19763513513513514,2442,0.39361702127659576,496,0.2031122031122031
official_test,H0,1234,0.73,0.2,6204,3273,638,0.19492820042774214,0.26378143133462284,0.04642166344294004,3273,0.08799266727772685,0.011927788523533205,0.3599290780141844,2.4724371373307545,1.0,1040,0.16763378465506126,200,0.19230769230769232,2233,0.3599290780141844,438,0.1961486789072996
official_test,H0,1234,0.74,0.2,6204,2944,542,0.18410326086956522,0.23726627981947132,0.03981302385557705,2944,0.08389945652173914,0.009509993552546744,0.3262411347517731,2.5254674403610573,1.0,920,0.14829142488716957,168,0.1826086956521739,2024,0.3262411347517731,374,0.18478260869565216
official_test,H0,1234,0.75,0.2,6204,2616,461,0.17622324159021407,0.21083172147001933,0.03288201160541586,2616,0.0779816513761468,0.007414571244358479,0.28949065119277884,2.5783365570599615,1.0,820,0.13217279174725982,144,0.17560975609756097,1796,0.28949065119277884,317,0.1765033407572383
official_test,H0,1234,0.76,0.2,6204,2371,409,0.17250105440742303,0.1910863958736299,0.027724049000644745,2371,0.07254323070434415,0.006608639587362992,0.261605415860735,2.61782720825274,1.0,748,0.12056737588652482,128,0.1711229946524064,1623,0.261605415860735,281,0.17313616759088107
official_test,H0,1234,0.77,0.2,6204,2176,374,0.171875,0.17537072856221791,0.024177949709864602,2176,0.06893382352941177,0.004835589941972921,0.2385557704706641,2.649258542875564,1.0,696,0.11218568665377177,118,0.16954022988505746,1480,0.2385557704706641,256,0.17297297297297298
official_test,H0,1234,0.78,0.2,6204,1979,330,0.1667508842849924,0.15949387491940684,0.022404900064474532,1979,0.07023749368367863,0.004835589941972921,0.21808510638297873,2.6810122501611864,1.0,626,0.10090264345583494,98,0.15654952076677317,1353,0.21808510638297873,232,0.1714708056171471
official_test,H0,1234,0.79,0.2,6204,1767,270,0.15280135823429541,0.14240812379110251,0.020309477756286266,1767,0.07130730050933787,0.004352030947775629,0.1958413926499033,2.715183752417795,1.0,552,0.08897485493230174,76,0.13768115942028986,1215,0.1958413926499033,194,0.15967078189300413
official_test,H0,1234,0.8,0.2,6204,1589,215,0.13530522341095028,0.12806254029658284,0.018536428110896196,1589,0.0723725613593455,0.0037072856221792394,0.17585428755641522,2.743874919406834,1.0,498,0.08027079303675048,60,0.12048192771084337,1091,0.17585428755641522,155,0.14207149404216315
official_test,H0,1234,0.81,0.2,6204,1412,188,0.13314447592067988,0.11379754996776273,0.017408123791102514,1412,0.0764872521246459,0.003223726627981947,0.15602836879432624,2.7724049000644744,1.0,444,0.07156673114119923,54,0.12162162162162163,968,0.15602836879432624,134,0.1384297520661157
official_test,H0,1234,0.82,0.2,6204,1211,147,0.12138728323699421,0.09759832366215344,0.014990328820116054,1211,0.07679603633360858,0.0024177949709864605,0.1349129593810445,2.8048033526756933,1.0,374,0.06028368794326241,38,0.10160427807486631,837,0.1349129593810445,109,0.13022700119474312
official_test,H0,1234,0.83,0.2,6204,1075,124,0.11534883720930232,0.08663765312701482,0.012894906511927788,1075,0.07441860465116279,0.002256608639587363,0.12040618955512572,2.8267246937459705,1.0,328,0.052869116698903935,32,0.0975609756097561,747,0.12040618955512572,92,0.12315930388219545
official_test,H0,1234,0.84,0.2,6204,944,96,0.1016949152542373,0.07607994842037395,0.011283043197936816,944,0.07415254237288135,0.0016118633139909735,0.10444874274661509,2.847840103159252,1.0,296,0.04771115409413282,26,0.08783783783783784,648,0.10444874274661509,70,0.10802469135802469
official_test,H0,1234,0.85,0.2,6204,820,73,0.08902439024390243,0.06608639587362991,0.009671179883945842,820,0.07317073170731707,0.0009671179883945841,0.08961960025789813,2.86782720825274,1.0,264,0.0425531914893617,22,0.08333333333333333,556,0.08961960025789813,51,0.09172661870503597
official_test,H0,1234,0.86,0.2,6204,704,64,0.09090909090909091,0.05673758865248227,0.008059316569954868,704,0.07102272727272728,0.0006447453255963894,0.07736943907156674,2.8865248226950353,1.0,224,0.036105738233397806,20,0.08928571428571429,480,0.07736943907156674,44,0.09166666666666666
official_test,H0,1234,0.87,0.2,6204,590,50,0.0847457627118644,0.04754996776273372,0.006769825918762089,590,0.0711864406779661,0.0003223726627981947,0.06382978723404255,2.9049000644745324,1.0,194,0.03127014829142489,18,0.09278350515463918,396,0.06382978723404255,32,0.08080808080808081
official_test,H0,1234,0.88,0.2,6204,457,27,0.05908096280087528,0.03683107672469375,0.004835589941972921,457,0.06564551422319474,0.0003223726627981947,0.04948420373952289,2.9263378465506125,1.0,150,0.024177949709864602,10,0.06666666666666667,307,0.04948420373952289,17,0.05537459283387622
official_test,H0,1234,0.89,0.2,6204,348,22,0.06321839080459771,0.02804642166344294,0.003223726627981947,348,0.05747126436781609,0.0003223726627981947,0.038039974210186976,2.9439071566731143,1.0,112,0.018052869116698903,8,0.07142857142857142,236,0.038039974210186976,14,0.059322033898305086
official_test,H0,1234,0.9,0.2,6204,274,14,0.051094890510948905,0.02208252740167634,0.0020954223081882657,274,0.04744525547445255,0.0,0.029980657640232108,2.9558349451966475,1.0,88,0.014184397163120567,4,0.045454545454545456,186,0.029980657640232108,10,0.053763440860215055
